TIME(ns),FREQ(Hz)
224375000,        160
224625000,        160
224875000,        160
225125000,        160
225375000,        160
225625000,        160
225875000,        160
226125000,        160
226375000,        160
226625000,        160
226875000,        160
227125000,        160
227375000,        160
227625000,        160
227875000,        160
228125000,        160
228375000,        160
228625000,        160
228875000,        160
229125000,        160
229375000,        160
229625000,        160
229875000,        160
230125000,        160
230375000,        160
230625000,        160
230875000,        160
231125000,        160
231375000,        160
231625000,        160
231875000,        160
232125000,        160
232375000,        160
232625000,        160
232875000,        160
233125000,        160
233375000,        160
233625000,        160
233875000,        160
234125000,        160
234375000,        160
234625000,        160
234875000,        160
235125000,        160
235375000,        160
235625000,        160
235875000,        160
236125000,        160
236375000,        160
236625000,        160
236875000,        160
237125000,        160
237375000,        160
237625000,        160
237875000,        160
238125000,        160
238375000,        160
238625000,        160
238875000,        160
239125000,        160
239375000,        160
239625000,        160
239875000,        160
240125000,        160
240375000,        160
240625000,        160
240875000,        160
241125000,        160
241375000,        160
241625000,        160
241875000,        160
242125000,        160
242375000,        160
242625000,        160
242875000,        160
243125000,        160
243375000,        160
243625000,        160
243875000,        160
244125000,        160
244375000,        160
244625000,        160
244875000,        160
245125000,        160
245375000,        160
245625000,        160
245875000,        160
246125000,        160
246375000,        160
246625000,        160
246875000,        160
247125000,        160
247375000,        160
247625000,        160
247875000,        160
248125000,        160
248375000,        160
248625000,        160
248875000,        160
249125000,        160
249375000,        160
249625000,        160
249875000,        160
250125000,        160
250375000,        160
250625000,        160
250875000,        160
251125000,        160
251375000,        160
251625000,        160
251875000,        160
252125000,        160
252375000,        160
252625000,        160
252875000,        160
253125000,        160
253375000,        160
253625000,        160
253875000,        160
254125000,        160
254375000,        160
254625000,        160
254875000,        160
255125000,        160
255375000,        160
255625000,        160
255875000,        160
256125000,        160
256375000,        160
256625000,        160
256875000,        160
257125000,        160
257375000,        160
257625000,        160
257875000,        160
258125000,        160
258375000,        160
258625000,        160
258875000,        160
259125000,        160
259375000,        160
259625000,        160
259875000,        160
260125000,        160
260375000,        160
260625000,        160
260875000,        160
261125000,        160
261375000,        160
261625000,        160
261875000,        160
262125000,        160
262375000,        160
262625000,        160
262875000,        160
263125000,        160
263375000,        160
263625000,        160
263875000,        160
264125000,        160
264375000,        160
264625000,        160
264875000,        160
265125000,        160
265375000,        160
265625000,        160
265875000,        160
266125000,        160
266375000,        160
266625000,        160
266875000,        160
267125000,        160
267375000,        160
267625000,        160
267875000,        160
268125000,        160
268375000,        160
268625000,        160
268875000,        160
269125000,        160
269375000,        160
269625000,        160
269875000,        160
270125000,        160
270375000,        160
270625000,        160
270875000,        160
271125000,        160
271375000,        160
271625000,        160
271875000,        160
272125000,        160
272375000,        160
272625000,        160
272875000,        160
273125000,        160
273375000,        160
273625000,        160
273875000,        160
274125000,        160
274375000,        160
274625000,        160
274875000,        160
275125000,        160
275375000,        160
275625000,        160
275875000,        160
276125000,        160
276375000,        160
276625000,        160
276875000,        160
277125000,        160
277375000,        160
277625000,        160
277875000,        160
278125000,        160
278375000,        160
278625000,        160
278875000,        160
279125000,        160
279375000,        160
279625000,        160
279875000,        160
280125000,        160
280375000,        160
280625000,        160
280875000,        160
281125000,        160
281375000,        160
281625000,        160
281875000,        160
282125000,        160
282375000,        160
282625000,        160
282875000,        160
283125000,        160
283375000,        160
283625000,        160
283875000,        160
284125000,        160
284375000,        160
284625000,        160
284875000,        160
285125000,        160
285375000,        160
285625000,        160
285875000,        160
286125000,        160
286375000,        160
286625000,        160
286875000,        160
287125000,        160
287375000,        160
287625000,        160
287875000,        160
288125000,        160
288375000,        160
288625000,        160
288875000,        160
289125000,        160
289375000,        160
289625000,        160
289875000,        160
290125000,        160
290375000,        160
290625000,        160
290875000,        160
291125000,        160
291375000,        160
291625000,        160
291875000,        160
292125000,        160
292375000,        160
292625000,        160
292875000,        160
293125000,        160
293375000,        160
293625000,        160
293875000,        160
294125000,        160
294375000,        160
294625000,        160
294875000,        160
295125000,        160
295375000,        160
295625000,        160
295875000,        160
296125000,        160
296375000,        160
296625000,        160
296875000,        160
297125000,        160
297375000,        160
297625000,        160
297875000,        160
298125000,        160
298375000,        160
298625000,        160
298875000,        160
299125000,        160
299375000,        160
299625000,        160
299875000,        160
300125000,        160
300375000,        160
300625000,        160
300875000,        160
301125000,        160
301375000,        160
301625000,        160
301875000,        160
302125000,        160
302375000,        160
302625000,        160
302875000,        160
303125000,        160
303375000,        160
303625000,        160
303875000,        160
304125000,        160
304375000,        160
304625000,        160
304875000,        160
305125000,        160
305375000,        160
305625000,        160
305875000,        160
306125000,        160
306375000,        160
306625000,        160
306875000,        160
307125000,        160
307375000,        160
307625000,        160
307875000,        160
308125000,        160
308375000,        160
308625000,        160
308875000,        160
309125000,        160
309375000,        160
309625000,        160
309875000,        160
310125000,        160
310375000,        160
310625000,        160
310875000,        160
311125000,        160
311375000,        160
311625000,        160
311875000,        160
312125000,        160
312375000,        160
312625000,        160
312875000,        160
313125000,        160
313375000,        160
313625000,        160
313875000,        160
314125000,        160
314375000,        160
314625000,        160
314875000,        160
315125000,        160
315375000,        160
315625000,        160
315875000,        160
316125000,        160
316375000,        160
316625000,        160
316875000,        160
317125000,        160
317375000,        160
317625000,        160
317875000,        160
318125000,        160
318375000,        160
318625000,        160
318875000,        160
319125000,        160
319375000,        160
319625000,        160
319875000,        160
320125000,        160
320375000,        160
320625000,        160
320875000,        160
321125000,        160
321375000,        160
321625000,        160
321875000,        160
322125000,        160
322375000,        160
322625000,        160
322875000,        160
323125000,        160
323375000,        160
323625000,        160
323875000,        160
324125000,        160
324375000,        160
324625000,        160
324875000,        160
325125000,        160
325375000,        160
325625000,        160
325875000,        160
326125000,        160
326375000,        160
326625000,        160
326875000,        160
327125000,        160
327375000,        160
327625000,        160
327875000,        160
328125000,        160
328375000,        160
328625000,        160
328875000,        160
329125000,        160
329375000,        160
329625000,        160
329875000,        160
330125000,        160
330375000,        160
330625000,        160
330875000,        160
331125000,        160
331375000,        160
331625000,        160
331875000,        160
